,BRAND,PRODUCT_NAME,COLOR,MEMORY,STAR_RATING,RATINGS,REVIEWS,RAM,BATTERY_C,SCREEN_SIZE,WARRANTY,OFFER_PRICE,DISCOUNT,MRP
142,Lenovo," A6 Note (Blue, 32 GB)",Blue,32,4.1,"15,050","1,511",3,4000,6.102,1,6999,30% off,9999
143,Nokia, 105,,,4.2,"19,051","1,798",,800,1.8,1,1248,16% off,1499
144,Karbonn, K140 Pop,,,3.9,"1,535",,,1000,1.8,1,699,29% off,699
145,Honor," 9N (Sapphire Blue, 32 GB)",Sapphire Blue,32,4.4,"2,26,414","21,960",3,3000,5.84,,7999,42% off,13999
146,Lava, A7,,,4.2,"4,008",,,1750,2.4,1,1439,0 % off,1439
147,Micromax, X512,,,4,"2,462",,,1750,1.77,1,760,57% off,1799
148,Realme," 3 (Dynamic Black, 64 GB)",Dynamic Black,64,4.4,"1,64,557","16,222",4,4230,6.22,1,10499,19% off,12999
149,Realme," 3 (Black, 32 GB)",Black,32,4.4,"4,29,660","42,807",3,4230,6.22,1,8499,22% off,10999
150,Apple," iPhone 7 Plus (Gold, 32 GB)",Gold,32,4.5,"24,149","2,580",,0,5.5,1,36999,2% off,37900
151,Kechaoda, A26,,,4.1,"2,702",,,800,0.66,1,925,0 % off,925
152,Kechaoda, A26,,,4.1,"2,702",,,800,0.66,1,925,33% off,1399
153,Kechaoda, A27,,,4.1,"1,142",,,800,0.66,1,925,0 % off,925
154,Yu," Ace (Elektric Blue, 16 GB)",Elektric Blue,16,4.1,"60,932","7,916",2,4000,5.45,1,4299,46% off,7999
155,Realme," X (Garlic, 128 GB)",Garlic,128,4.5,"38,046","4,790",8,3765,6.53,1,20999,0 % off,20999
156,Realme," X (Space Blue, 128 GB)",Space Blue,128,4.5,"93,093","12,347",4,3765,6.53,1,17999,0 % off,17999
157,Apple," iPhone 8 (Silver, 64 GB)",Silver,64,4.5,"9,968",,,0,4.7,1,38999,2% off,39900
158,Nokia, 105,,,4.2,"19,051","1,798",,800,1.8,1,1299,13% off,1499
159,Kechaoda, K33,,,4.1,"1,376",,,1000,1.4,1,880,37% off,1399
160,Kechaoda, K33,,,4.1,"1,376",,,1000,1.4,1,880,37% off,1399
161,Kechaoda, K33,,,4.1,"1,376",,,1000,1.4,1,880,41% off,1499
162,Panasonic," Eluga Ray 810 (Starry Black, 64 GB)",Starry Black,64,4.1,"1,759",,4,4000,6.2,,7799,54% off,16990
163,OPPO," F11 Pro (Aurora Green, 128 GB)",Aurora Green,128,4.4,"1,11,046","10,763",6,4000,6.5,1,17990,40% off,29990
164,OPPO," A31 (Mystery Black, 64 GB)",Mystery Black,64,4.4,,,4,4230,6.5,1,11390,12% off,12990
165,Nokia, 105 SS,,,4.3,"61,000","6,015",,800,1.77,1,1099,12% off,1249
166,Realme," 2 Pro (Blue Ocean, 64 GB)",Blue Ocean,64,4.5,"90,921","9,984",6,3500,6.3,1,11490,28% off,15990
167,Realme," 2 Pro (Blue Ocean, 64 GB)",Blue Ocean,64,4.5,"3,82,583","44,418",4,3500,6.3,1,11490,17% off,13990
168,Redmi," 8A Dual (Sea Blue, 32 GB)",Sea Blue,32,4.3,,,3,5000,6.22,,7868,1% off,7999
169,Redmi," 8A Dual (Midnight Grey, 32 GB)",Midnight Grey,32,4.4,,,2,5000,6.22,,7488,0 % off,7488
170,Redmi," 8A Dual (Sea Blue, 32 GB)",Sea Blue,32,4.4,,,2,5000,6.22,,7200,3% off,7499
171,Redmi," 8A Dual (Midnight Grey, 32 GB)",Midnight Grey,32,4.3,,,3,5000,6.22,,7789,2% off,7999
172,Lava, Gem,,,4.3,,,,1750,2.8,,1549,0 % off,1549
173,Samsung," Galaxy M30s (Blue, 64 GB)",Blue,64,4.4,"2,332",,4,6000,6.4,1,14999,3% off,15500
174,Lava, A7,,,4.2,"4,008",,,1750,2.4,1,1299,23% off,1699
175,Lava, Hero,,,4,,,,600,1.8,,670,25% off,670
176,Micromax, X749,,,4.4,,,,1750,2.4,1,1119,0 % off,1119
177,Gfive, U873,,,3.8,,,,1000,1.8,1,639,41% off,1099
178,Gfive, U873,,,3.8,,,,1000,1.8,1,599,45% off,1099
179,Micromax, X421,,,4.1,,,,1800,1.77,,869,51% off,1799
180,Lenovo," K9 Note (Gold, 64 GB)",Gold,64,4.1,"1,308",,4,3760,5.99,1,7499,37% off,11999
181,Itel, It 2190,,,4.1,,,,1000,1.8,1,877,22% off,1125
